#Time,X,Y,Z,q_x,q_y,q_z,q_w
1275,-5.041548385,-3.996557388,0.085234765,0.408450248,0.912461429,0.018600829,-0.015379978
1276,-5.03797422,-3.998137674,0.085770215,0.407202528,0.913018757,0.018604389,-0.015385913
1277,-5.034394192,-3.999762167,0.086305352,0.405937456,0.913577365,0.018745871,-0.015484561
1278,-5.030813127,-4.001413983,0.086829957,0.404694892,0.914119764,0.019011505,-0.015673672
1279,-5.027239832,-4.003079374,0.08733142,0.403524444,0.914624547,0.019383551,-0.015944866
1280,-5.023676998,-4.004764967,0.087807548,0.402525215,0.91504915,0.019850775,-0.016261965
1281,-5.020123839,-4.006481636,0.088255319,0.401760939,0.915369352,0.020306716,-0.016575112
1282,-5.016580544,-4.008227563,0.088672264,0.401248736,0.915580887,0.020687649,-0.016825928
1283,-5.013046092,-4.009990542,0.089064355,0.400955367,0.91569886,0.021035071,-0.016968116
1284,-5.009512323,-4.011763936,0.089419538,0.400863776,0.915731183,0.021349905,-0.016994556
1285,-5.005993484,-4.013515506,0.089744123,0.400958938,0.915684367,0.021601766,-0.016953885
1286,-5.002494085,-4.015237728,0.090049217,0.401228396,0.915564189,0.021748368,-0.016881919
1287,-4.999041854,-4.016910782,0.090324053,0.401657932,0.915376892,0.021752134,-0.016819515
1288,-4.995636455,-4.018554383,0.09058407,0.402262253,0.915115839,0.021554923,-0.016836444
1289,-4.992290752,-4.02017537,0.090832815,0.402995551,0.914800414,0.021164996,-0.016936087
1290,-4.989000978,-4.0217939,0.091079705,0.403801996,0.914453863,0.020623393,-0.01711015
1291,-4.985769599,-4.02341068,0.091331717,0.404623759,0.914098654,0.020042656,-0.017365366
1292,-4.982596899,-4.025023553,0.091584908,0.40536501,0.913774772,0.019503837,-0.017733431
1293,-4.979495208,-4.026624149,0.091836976,0.405937892,0.913519127,0.019066799,-0.018267164
1294,-4.976486092,-4.028195487,0.092084706,0.40620068,0.913395283,0.018701407,-0.018982139
1295,-4.973561399,-4.029740653,0.092326775,0.406053458,0.913449309,0.018441555,-0.01977015
1296,-4.970707703,-4.031255532,0.092569939,0.405466454,0.913695631,0.01837278,-0.020486339
1297,-4.967900042,-4.032748361,0.092817436,0.404498931,0.914108747,0.018543146,-0.021022981
1298,-4.965135413,-4.034209057,0.093075531,0.403251255,0.914643223,0.018987089,-0.021346907
1299,-4.962390919,-4.035666543,0.093339349,0.401866624,0.915233449,0.019703259,-0.021511201
1300,-4.959659287,-4.037142229,0.093606377,0.400498213,0.915811842,0.020635786,-0.021541036
1301,-4.956928497,-4.038666863,0.093869003,0.399235396,0.916341244,0.021653352,-0.021469873
1302,-4.954190632,-4.040259428,0.094119716,0.398125099,0.916803475,0.022677601,-0.021296039
1303,-4.951435013,-4.041928459,0.094365823,0.397225493,0.917174665,0.023667497,-0.021033082
1304,-4.948656459,-4.043667443,0.094604883,0.396528264,0.917458252,0.024615403,-0.02073098
1305,-4.945858136,-4.045464499,0.094838804,0.396066116,0.917640586,0.02550098,-0.020422716
1306,-4.943042734,-4.047313193,0.095061902,0.395827846,0.917727087,0.026275897,-0.020171451
1307,-4.94020312,-4.049218847,0.095274723,0.395762894,0.9177397,0.026923964,-0.02001685
1308,-4.937342121,-4.051165418,0.095480426,0.395818841,0.917700246,0.027464251,-0.019985461
1309,-4.934455011,-4.053152004,0.095673502,0.395909845,0.917644903,0.027932907,-0.020074339
1310,-4.931543378,-4.055172884,0.095860482,0.39600601,0.917587704,0.028317033,-0.020253178
1311,-4.928602614,-4.057232311,0.096042413,0.396086086,0.917536967,0.028673786,-0.020482696
1312,-4.925639786,-4.059329777,0.096226046,0.396095095,0.917518086,0.028954776,-0.020757122
1313,-4.922661414,-4.061468399,0.096403678,0.39601486,0.917540539,0.029118952,-0.021063612
1314,-4.919675483,-4.063644062,0.096574868,0.395834345,0.917608716,0.029192789,-0.021382141
1315,-4.916672066,-4.065862024,0.096742845,0.395541632,0.917725804,0.029239454,-0.02170762
1316,-4.913656995,-4.068108201,0.096912288,0.395164355,0.91787754,0.029321911,-0.022049487
1317,-4.910629402,-4.070384976,0.097078275,0.394654605,0.918083882,0.029436777,-0.02243222
